ISBN,Title,Categorized Genres,Other,biography,children's fiction,fantasy,fiction,general,historical,large type books,romance,social life and customs,united states
3442162637,"Die perfekte Liebhaberin. Sextechniken, die ihn verrückt machen.",['Other'],1,0,0,0,0,0,0,0,0,0,0
1859845835,BUSH IN BABYLON: THE RECOLONISATION OF IRAQ.,"['united states', 'Other']",1,0,0,0,0,0,0,0,0,0,1
1887166513,"Men are from Detroit, Women are from Paris","['social life and customs', 'Other']",1,0,0,0,0,0,0,0,0,1,0
1551664283,Snowflakes On The Sea,"['large type books', 'fiction', 'romance', 'Other']",1,0,0,0,1,0,0,1,1,0,0
1571458506,Uncle John's bathroom reader plunges into minnesota,['Other'],1,0,0,0,0,0,0,0,0,0,0
3453054083,MacBest,"['fiction', 'fantasy', 'general', 'Other']",1,0,0,1,1,1,0,0,0,0,0
1569472408,Gravity of Sunlight,"['historical', 'fiction', 'Other']",1,0,0,0,1,0,1,0,0,0,0
8845206475,Gli indifferenti,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
3821808586,Männer,['Other'],1,0,0,0,0,0,0,0,0,0,0
042514609X,Murder at the Spa,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
1580680038,Schwinn (Enthusiast Color),['Other'],1,0,0,0,0,0,0,0,0,0,0
014009203X,Unexplained laughter,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1853267767,Thus Spake Zarathustra,['Other'],1,0,0,0,0,0,0,0,0,0,0
8479017694,El mundo ha vivido equivocado,['Other'],1,0,0,0,0,0,0,0,0,0,0
082176652X,Stolen kisses,"['fiction', 'romance', 'united states', 'Other']",1,0,0,0,1,0,0,0,1,0,1
1575668092,Pure silk,"['historical', 'fiction', 'general', 'Other']",1,0,0,0,1,1,1,0,0,0,0
8472237850,La Muerte De Belle,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1931561516,Blue horse dreaming,"['historical', 'fiction', 'general', 'Other']",1,0,0,0,1,1,1,0,0,0,0
1570824622,Disney's 101 dalmatians I don't like...,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
080079317X,War in Heaven,['Other'],1,0,0,0,0,0,0,0,0,0,0
030737002X,Birds of North America,['Other'],1,0,0,0,0,0,0,0,0,0,0
1551669285,The soul catcher,"['large type books', 'general', 'Other', 'fiction', 'united states']",1,0,0,0,1,1,0,1,0,0,1
1558611541,Weeds,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1565120140,Father and son,"['large type books', 'fiction', 'general', 'Other']",1,0,0,0,1,1,0,1,0,0,0
000651250X,Death at the Dolphin,"['large type books', 'fiction', 'general', 'Other']",1,0,0,0,1,1,0,1,0,0,0
1580910998,Essential Wicca,['Other'],1,0,0,0,0,0,0,0,0,0,0
1853913561,Lesley Herbert's complete book of sugar flowers,['Other'],1,0,0,0,0,0,0,0,0,0,0
074325547X,Plan of attack,"['united states', 'Other']",1,0,0,0,0,0,0,0,0,0,1
188895275X,The Presley family & friends cookbook,['Other'],1,0,0,0,0,0,0,0,0,0,0
1881273911,Loving Solutions,['Other'],1,0,0,0,0,0,0,0,0,0,0
044150440X,Lucky in Love (Caprice No. 74),"['fiction', 'general']",0,0,0,0,1,1,0,0,0,0,0
028563450X,Knights of madness,"['fiction', 'fantasy', 'general', 'Other']",1,0,0,1,1,1,0,0,0,0,0
3923880642,Dog Owners Guide to American and English Cocker Spaniels,['Other'],1,0,0,0,0,0,0,0,0,0,0
3462027255,Der schwarze Obelisk. Geschichte einer verspäteten Jugend,"['historical', 'fiction', 'Other']",1,0,0,0,1,0,1,0,0,0,0
1551664631,Moontide,"['large type books', 'fiction', 'romance', 'Other']",1,0,0,0,1,0,0,1,1,0,0
3442357225,Unverhofftes Glück.,"['fiction', 'large type books', 'romance', 'Other']",1,0,0,0,1,0,0,1,1,0,0
1578561213,Distant memory,"['large type books', 'fiction', 'general', 'Other']",1,0,0,0,1,1,0,1,0,0,0
2226004696,Le sucre,['Other'],1,0,0,0,0,0,0,0,0,0,0
9728423462,Amor portátil,['Other'],1,0,0,0,0,0,0,0,0,0,0
088289126X,See you at the top =,['Other'],1,0,0,0,0,0,0,0,0,0,0
1570643881,Dr. Jekyll and Mr. Dog,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
1840242655,Thistle Soup,"['biography', 'social life and customs', 'Other']",1,1,0,0,0,0,0,0,0,1,0
1874507155,Giles Sunday Express and Daily Express cartoons.,['Other'],1,0,0,0,0,0,0,0,0,0,0
285704187X,"Hugues Capet, le fondateur","['biography', 'historical', 'Other']",1,1,0,0,0,0,1,0,0,0,0
9280717405,Towards the Global Use of Life Cycle Assessment,['Other'],1,0,0,0,0,0,0,0,0,0,0
1561445770,Eye illusions,['Other'],1,0,0,0,0,0,0,0,0,0,0
087722417X,Street Woman,['Other'],1,0,0,0,0,0,0,0,0,0,0
3442451604,B. A. f. H.,['Other'],1,0,0,0,0,0,0,0,0,0,0
8437220491,El Hechicero De La Montana De Fuego/the Warlock of Firetop Mountain,"[""children's fiction"", 'Other']",1,0,1,0,0,0,0,0,0,0,0
185406066X,Baby stegosaurus,['Other'],1,0,0,0,0,0,0,0,0,0,0
1559943491,On Writing Well,['Other'],1,0,0,0,0,0,0,0,0,0,0
3934358802,Flash 5 und ActionScript professionell,['Other'],1,0,0,0,0,0,0,0,0,0,0
034055830X,An American Love Story,"['fiction', 'general']",0,0,0,0,1,1,0,0,0,0,0
2253149977,Le Neveu De Rameau Satires Contes Et Entretiens,['Other'],1,0,0,0,0,0,0,0,0,0,0
9500707756,Doce cuentos peregrinos,"['fiction', 'social life and customs', 'Other']",1,0,0,0,1,0,0,0,0,1,0
1567996884,Kitchens,['Other'],1,0,0,0,0,0,0,0,0,0,0
080506012X,The appointment,"['historical', 'fiction', 'general', 'Other']",1,0,0,0,1,1,1,0,0,0,0
037575248X,Zuleika Dobson,"['fiction', 'romance', 'general', 'Other']",1,0,0,0,1,1,0,0,1,0,0
082176103X,A season of virtues,"['historical', 'social life and customs', 'general', 'Other', 'fiction', 'romance']",1,0,0,0,1,1,1,0,1,1,0
082172469X,The Duke of Flatbush,"['biography', 'Other']",1,1,0,0,0,0,0,0,0,0,0
057121844X,GOOD FAITH.,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
8401327350,León Bocanegra,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
2253019585,Sens dessus dessous,"['historical', 'Other']",1,0,0,0,0,0,1,0,0,0,0
088029275X,Psmith in the City,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
037361358X,An Arranged Marriage,"['fiction', 'romance', 'Other']",1,0,0,0,1,0,0,0,1,0,0
074931012X,SWIFT,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
044652932X,Pride of October,"['historical', 'biography', 'Other']",1,1,0,0,0,0,1,0,0,0,0
019505976X,Presidential wives,"['united states', 'Other']",1,0,0,0,0,0,0,0,0,0,1
006053429X,Couldn't keep it to myself,['Other'],1,0,0,0,0,0,0,0,0,0,0
016051195X,To preserve and protect,['Other'],1,0,0,0,0,0,0,0,0,0,0
1564746666,On her way home,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
1564583740,An introduction to pastels,['Other'],1,0,0,0,0,0,0,0,0,0,0
1552042189,The Return,"['fiction', 'romance', 'general', 'Other']",1,0,0,0,1,1,0,0,1,0,0
1580050638,Nervous conditions,"['historical', 'social life and customs', 'general', 'Other', 'fiction']",1,0,0,0,1,1,1,0,0,1,0
3857870958,Das Leben und Sterben des unwürdigen Dieners Gottes und mörderischen Vagabunden Paul Irniger,"['biography', 'Other']",1,1,0,0,0,0,0,0,0,0,0
3442039762,Hebt Die Titanic,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
2895940002,Karla,"['biography', 'Other']",1,1,0,0,0,0,0,0,0,0,0
096293982X,The Ziggy Cookbook,['Other'],1,0,0,0,0,0,0,0,0,0,0
1590510666,San Remo Drive,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
8432045497,Indios carapálidas,"['historical', 'Other']",1,0,0,0,0,0,1,0,0,0,0
1562612573,The Pacific Northwest Travel-Smart Trip Planner (1st ed),['Other'],1,0,0,0,0,0,0,0,0,0,0
1840006110,Hugh Johnson's pocket wine book 2003,['Other'],1,0,0,0,0,0,0,0,0,0,0
081120975X,3 more novels,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1577490185,Itty Bitty Kitty makes a big splash,"[""children's fiction"", 'fiction', 'Other']",1,0,1,0,1,0,0,0,0,0,0
1583140484,A Sure Thing,"['fiction', 'romance', 'general', 'Other']",1,0,0,0,1,1,0,0,1,0,0
076151810X,Starcraft Campaign Editor,['Other'],1,0,0,0,0,0,0,0,0,0,0
088739339X,The Greatest Gift,['Other'],1,0,0,0,0,0,0,0,0,0,0
185326489X,The Wordsworth Dictionary of Quotations (Wordsworth Reference) (Wordsworth Reference),['Other'],1,0,0,0,0,0,0,0,0,0,0
1552634523,Making a stone of the heart,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
1576750043,Your signature path,['Other'],1,0,0,0,0,0,0,0,0,0,0
8484034445,La metamorfosis ; Informe para una academia,"['historical', ""children's fiction"", 'general', 'Other', 'fiction']",1,0,1,0,1,1,1,0,0,0,0
042518871X,The great American handbook,"['united states', 'Other']",1,0,0,0,0,0,0,0,0,0,1
014012411X,A gift of poison,['fiction'],0,0,0,0,1,0,0,0,0,0,0
1405032596,A Prison Diary 2,"['biography', 'Other']",1,1,0,0,0,0,0,0,0,0,0
037324228X,The Major And The Librarian,"['fiction', 'romance', 'general', 'Other']",1,0,0,0,1,1,0,0,1,0,0
8401466334,Volar,"['historical', 'large type books', 'general', 'Other', 'fiction', 'romance']",1,0,0,0,1,1,1,1,1,0,0
1563526514,The Thank You Book,['Other'],1,0,0,0,0,0,0,0,0,0,0
075150372X,The Holy Thief,"['historical', 'large type books', 'general', 'Other', 'fiction']",1,0,0,0,1,1,1,1,0,0,0
1932100040,The man who folded himself,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
9652800740,The Zealots of Masada,['Other'],1,0,0,0,0,0,0,0,0,0,0
1556155557,The Peter Norton PC Programmer's Bible,['Other'],1,0,0,0,0,0,0,0,0,0,0
068721744X,Life and Teaching of Jesus Christ Festival Book,['Other'],1,0,0,0,0,0,0,0,0,0,0
1880238888,Blessing the Boats,['Other'],1,0,0,0,0,0,0,0,0,0,0
044175046X,Satellite Night News,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1559581158,The travel writer's guide,['Other'],1,0,0,0,0,0,0,0,0,0,0
038547721X,The Other Side of the River,"['united states', 'Other']",1,0,0,0,0,0,0,0,0,0,1
8807817462,Ritratto in Seppia,"['historical', 'large type books', 'social life and customs', 'general', 'Other', 'fiction']",1,0,0,0,1,1,1,1,0,1,0
042511659X,Mystery Ranch,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
3518106163,Die Ermittlung,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
157488199X,Amelia,"['biography', 'Other']",1,1,0,0,0,0,0,0,0,0,0
157003284X,Addie,"['historical', 'biography', 'united states', 'Other']",1,1,0,0,0,0,1,0,0,0,1
1561794597,Focus on the Family presents great stories remembered,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
1571454942,Uncle John's all-purpose extra strength bathroom reader,['Other'],1,0,0,0,0,0,0,0,0,0,0
8440619537,Frankenstein,"['large type books', ""children's fiction"", 'historical', 'general', 'Other', 'fiction']",1,0,1,0,1,1,1,1,0,0,0
1556619340,Another homecoming,"['historical', 'large type books', 'general', 'Other', 'fiction']",1,0,0,0,1,1,1,1,0,0,0
1850282625,Fossils of the World,['Other'],1,0,0,0,0,0,0,0,0,0,0
039483013X,The Berenstain bears and the in-crowd,"[""children's fiction"", 'fiction', 'Other']",1,0,1,0,1,0,0,0,0,0,0
1575212870,Presenting JavaBeans,['Other'],1,0,0,0,0,0,0,0,0,0,0
037316422X,Sometimes A Lady,"['fiction', 'general']",0,0,0,0,1,1,0,0,0,0,0
1563891867,The big book of conspiracies,['Other'],1,0,0,0,0,0,0,0,0,0,0
1402200277,My fellow Americans,"['united states', 'Other']",1,0,0,0,0,0,0,0,0,0,1
096623460X,I spit on your graves,"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1565841778,Mexican lives,"['biography', 'social life and customs', 'Other']",1,1,0,0,0,0,0,0,0,1,0
037550303X,The White Death,['Other'],1,0,0,0,0,0,0,0,0,0,0
071366021X,Mammals of the World,['Other'],1,0,0,0,0,0,0,0,0,0,0
156530182X,The race is run one step at a time,['Other'],1,0,0,0,0,0,0,0,0,0,0
014130975X,The Blue Sword,"[""children's fiction"", 'general', 'Other', 'fiction', 'fantasy']",1,0,1,1,1,1,0,0,0,0,0
8845912450,Il puro e l'impuro,"['fiction', 'social life and customs', 'general', 'Other']",1,0,0,0,1,1,0,0,0,1,0
1591820650,Rave master.,"['fiction', 'fantasy', 'Other']",1,0,0,1,1,0,0,0,0,0,0
2720600628,Les plus beaux poèmes de la liberté,['Other'],1,0,0,0,0,0,0,0,0,0,0
1556610262,The overland escape,"['fiction', 'Other']",1,0,0,0,1,0,0,0,0,0,0
3442728266,Der Liebeswunsch,['Other'],1,0,0,0,0,0,0,0,0,0,0
1564268160,Low-fat Mexican cooking.,['Other'],1,0,0,0,0,0,0,0,0,0,0
1585671975,The company,"['fiction', 'united states', 'Other']",1,0,0,0,1,0,0,0,0,0,1
037380203X,The  charmed sphere,"['fiction', 'fantasy', 'romance', 'Other']",1,0,0,1,1,0,0,0,1,0,0
1558216707,"Eminent dogs, dangerous men","['large type books', 'biography', 'Other']",1,1,0,0,0,0,0,1,0,0,0
1576736288,Ain't no river,"['large type books', 'fiction', 'Other']",1,0,0,0,1,0,0,1,0,0,0
1562829440,Bone / Fae Myenne Ng,"['historical', 'fiction', 'general', 'Other']",1,0,0,0,1,1,1,0,0,0,0
1569312532,Ranma 1/2,"['fiction', 'fantasy', 'Other']",1,0,0,1,1,0,0,0,0,0,0
1853260959,King Lear (Wordsworth Classics) (Wordsworth Classics),"['fiction', 'general', 'Other']",1,0,0,0,1,1,0,0,0,0,0
1886155003,The magic mirror of M.C. Escher,['Other'],1,0,0,0,0,0,0,0,0,0,0
1561791016,Strange journey back,"[""children's fiction"", 'fiction', 'Other']",1,0,1,0,1,0,0,0,0,0,0
1585744972,How to Build Your Dream Cabin in the Woods,['Other'],1,0,0,0,0,0,0,0,0,0,0
